Rank,Metals Industry,Number Of Employees,"Change In 
 Rank",Industry,Company Description,"Revenues
 ($millions)","Revenue 
 Change","Profits
 ($millions)","Profit 
 Change","Assets
 ($millions)","Market Value 
 As of 3/31/20 ($m)"
1.0,Walmart,2200000.0,-,Retail Company,"Walmart Inc. Is An American Multinational Retail Corporation That Operates A Chain Of Hypermarkets, Discount Department Stores, And Grocery Stores, Headquartered In Bentonville, Arkansas.",523964.0,0.019,14881.0,1.231,236495.0,321803.0
2.0,Amazon.com,798000.0,3.0,E-commerce Company,"Amazon.com, Inc. Is An American Multinational Technology Company Based In Seattle, Washington, Which Focuses On E-commerce, Cloud Computing, Digital Streaming, And Artificial Intelligence. ",280522.0,0.205,11588.0,0.15,225248.0,970680.0
3.0,Exxon Mobil,74900.0,-1.0,Corporation,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products.",264938.0,-0.087,14340.0,-0.312,362597.0,160696.0
4.0,Apple,137000.0,-1.0,Technology Company,"Apple Inc. Is An American Multinational Technology Company Headquartered In Cupertino, California, That Designs, Develops And Sells Consumer Electronics, Computer Software, And Online Services.",260174.0,-0.02,55256.0,-0.072,338516.0,1112641.0
5.0,Cvs Health,290000.0,3.0,Healthcare Company,"Cvs Health Is An American Healthcare Company That Owns Cvs Pharmacy, A Retail Pharmacy Chain; Cvs Caremark, A Pharmacy Benefits Manager; Aetna, A Health Insurance Provider, Among Many Other Brands. The Company's Headquarter Is In Woonsocket, Rhode Island.",256776.0,0.32,6634.0,-,222449.0,77376.0
6.0,Berkshire Hathaway,391500.0,-2.0,Multinational Conglomerate Company,"Berkshire Hathaway Is An American Multinational Conglomerate Holding Company Headquartered In Omaha, Nebraska, United States.",254616.0,0.027,81417.0,19.248,817729.0,442897.0
7.0,Unitedhealth Group,325000.0,-1.0,Managed Care Company,"Unitedhealth Group Incorporated Is An American For-profit Managed Health Care Company Based In Minnetonka, Minnesota. It Offers Health Care Products And Insurance Services. In 2019, It Was The Second-largest Healthcare Company By Revenue With $242.2 Billion, And The Largest Insurance Company By Net Premiums.",242155.0,0.07,13839.0,0.155,173889.0,236555.0
8.0,Mckesson,70000.0,-1.0,Health Care Company,"Mckesson Corporation Is An American Company Distributing Pharmaceuticals And Providing Health Information Technology, Medical Supplies, And Care Management Tools. The Company Had Revenues Of $231.1 Billion In 2020. ",214319.0,0.029,34.0,-0.493,59672.0,21845.0
9.0,At&t,247800.0,-,Telecommunications Company,"At&t Inc. Is An American Multinational Conglomerate Holding Company, Delaware-registered But Headquartered At Whitacre Tower In Downtown Dallas, Texas. ",181193.0,0.061,13903.0,-0.282,551669.0,209388.0
10.0,Amerisourcebergen,21500.0,-,Wholesale Company,Amerisourcebergen Corporation Is An American Drug Wholesale Company That Was Formed By The Merger Of Bergen Brunswig And Amerisource In 2001. They Provide Drug Distribution And Related Services Designed To Reduce Costs And Improve Patient Outcomes.,179589.0,0.069,855.4,-0.484,39172.0,18221.0
11.0,Alphabet,118899.0,4.0,Information Technology And Services,"Alphabet Inc. Is An American Multinational Conglomerate Headquartered In Mountain View, California. It Was Created Through A Restructuring Of Google On October 2, 2015,[2] And Became The Parent Company Of Google And Several Former Google Subsidiaries.the Two Co-founders Of Google Remained As Controlling Shareholders, Board Members, And Employees At Alphabet. Alphabet Is The World's Fourth-largest Technology Company By Revenue And One Of The World's Most Valuable Companies.",161857.0,0.183,34343.0,0.117,275909.0,798905.0
12.0,Ford Motor,190000.0,-,Automaker Company,"Ford Motor Company, Commonly Known As Ford, Is An American Multinational Automaker That Has Its Main Headquarters In Dearborn, Michigan, A Suburb Of Detroit. It Was Founded By Henry Ford And Incorporated On June 16, 1903.",155900.0,-0.028,47.0,-0.987,258537.0,19151.0
13.0,Cigna,73700.0,52.0,Insurance Company,"Cigna Is An American Worldwide Health Services Organization Based In Bloomfield, Connecticut. Its Insurance Subsidiaries Are Major Providers Of Medical, Dental, Disability, Life And Accident Insurance And Related Products And Services, The Majority Of Which Are Offered Through Employers And Other Groups.",153566.0,2.157,5104.0,0.936,155774.0,65897.0
14.0,Costco Wholesale,201500.0,-,Retail Company,Costco Wholesale Corporation Is An American Multinational Corporation Which Operates A Chain Of Membership-only Warehouse Clubs.,152703.0,0.079,3659.0,0.168,45400.0,125908.0
15.0,Chevron,48200.0,-4.0,Oil Industry Company,"Chevron Corporation Is An American Multinational Energy Corporation. One Of The Successor Companies Of Standard Oil, It Is Headquartered In San Ramon, California, And Active In More Than 180 Countries.",146516.0,-0.119,2924.0,-0.803,237428.0,136176.0
16.0,Cardinal Health,49500.0,-,Health Care Company,"Cardinal Health, Inc. Is An American Multinational Health Care Services Company, And The 14th Highest Revenue Generating Company In The United States. Its Headquarters Are Based In Dublin, Ohio And Dublin, Ireland.",145534.0,0.064,1363.0,4.324,40963.0,13988.0
17.0,Jpmorgan Chase,256981.0,1.0,Investment Banking Company,"Jpmorgan Chase & Co. Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In New York City. Jpmorgan Chase Is Ranked By S&p Global As The Largest Bank In The United States And The Seventh Largest Bank In The World By Total Assets, With Total Assets Of Us$3.213 Trillion.",142422.0,0.084,36431.0,0.122,2687379.0,276750.0
18.0,General Motors,164000.0,-5.0,Vehicle Manufacturer,"General Motors Company Is An American Multinational Corporation Headquartered In Detroit That Designs, Manufactures, Markets, And Distributes Vehicles And Vehicle Parts, And Sells Financial Services, With Global Headquarters In Detroit's Renaissance Center.",137237.0,-0.067,6732.0,-0.16,228037.0,29695.0
19.0,Walgreens Boots Alliance,287000.0,-2.0,Retail Company,"Walgreens Boots Alliance, Inc. Is An American Holding Company Headquartered In Deerfield, Illinois, That Owns Walgreens, Boots, And A Number Of Pharmaceutical Manufacturing, Wholesale, And Distribution Companies.",136866.0,0.041,3982.0,-0.207,67598.0,40528.0
20.0,Verizon Communications,135000.0,-1.0,Telecommunications Company,"Verizon Communications Inc. Is An American Multinational Telecommunications Conglomerate And A Corporate Component Of The Dow Jones Industrial Average. The Company Is Based At 1095 Avenue Of The Americas In Midtown Manhattan, New York City, But Is Incorporated In Delaware.",131868.0,0.008,19265.0,0.241,291727.0,222220.0
21.0,Microsoft,144000.0,5.0,Technology Company,"Microsoft Corporation Is An American Multinational Technology Company With Headquarters In Redmond, Washington. It Develops, Manufactures, Licenses, Supports, And Sells Computer Software, Consumer Electronics, Personal Computers, And Related Services.",125843.0,0.14,39240.0,1.368,286556.0,1199550.0
22.0,Marathon Petroleum,60910.0,9.0,Petroleum Refining Company,"Marathon Petroleum Corporation Is An American Petroleum Refining, Marketing, And Transportation Company Headquartered In Findlay, Ohio. The Company Was A Wholly Owned Subsidiary Of Marathon Oil Until A Corporate Spin-off In 2011.",124813.0,0.285,2637.0,-0.051,98556.0,15353.0
23.0,Kroger,435000.0,-3.0,Retail Company,"The Kroger Company, Or Simply Kroger, Is An American Retail Company Founded By Bernard Kroger In 1883 In Cincinnati, Ohio. It Is The United States' Largest Supermarket By Revenue, And The Second-largest General Retailer.",122286.0,0.009,1659.0,-0.467,45256.0,24114.0
24.0,Fannie Mae,7500.0,-2.0,Mortgage Loan Company,"The Federal National Mortgage Association, Commonly Known As Fannie Mae, Is A United States Government-sponsored Enterprise And, Since 1968, A Publicly Traded Company.",120304.0,0.002,14160.0,-0.113,3503319.0,1841.0
25.0,Bank Of America,208131.0,-,Financial Services Company,"The Bank Of America Corporation Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In Charlotte, North Carolina, With Central Hubs In New York City, Dallas, Toronto, London And Hong Kong.",113589.0,0.027,27430.0,-0.025,2434079.0,185227.0
26.0,Home Depot,415700.0,1.0,Home Improvement Company,"The Home Depot, Inc., Commonly Known As Home Depot, Is The Largest Home Improvement Retailer In The United States, Supplying Tools, Construction Products, And Services. The Company Is Headquartered In Incorporated Cobb County, Georgia, With An Atlanta Mailing Address.",110225.0,0.019,11242.0,0.011,51236.0,200665.0
27.0,Phillips 66,14500.0,-4.0,Energy Company,"The Phillips 66 Company Is An American Multinational Energy Company Headquartered In Westchase, Houston, Texas. It Debuted As An Independent Energy Company When Conocophillips Executed A Spin-off Of Its Downstream And Midstream Assets. ",109559.0,-0.041,3076.0,-0.45,58720.0,23490.0
28.0,Comcast,190000.0,4.0,Telecommunications Company,"Comcast Corporation Is An American Telecommunications Conglomerate Headquartered In Philadelphia, Pennsylvania.",108942.0,0.153,13057.0,0.113,263414.0,156533.0
29.0,Anthem,70600.0,4.0,Insurance Company,"Anthem, Inc., Is A Provider Of Health Insurance In The United States. It Is The Largest For-profit Managed Health Care Company In The Blue Cross Blue Shield Association. As Of 2018, The Company Had Approximately 40 Million Members. Anthem Is Ranked 29th On The Fortune 500. Prior To 2014, It Was Named Wellpoint, Inc.",104213.0,0.131,4807.0,0.282,77453.0,57245.0
30.0,Wells Fargo,259800.0,-1.0,Financial Services Company,"Wells Fargo & Company Is An American Multinational Financial Services Company With Corporate Headquarters In San Francisco, California, Operational Headquarters In Manhattan, And Managerial Offices Throughout The United States And Overseas.",103915.0,0.028,19549.0,-0.127,1927555.0,117366.0
31.0,Citigroup,200000.0,-1.0,Investment Banking Company,Citigroup Inc. Or Citi Is An American Multinational Investment Bank And Financial Services Corporation Headquartered In New York City. The Company Was Formed By The Merger Of Banking Giant Citicorp And Financial Conglomerate Travelers Group In 1998; Travelers Was Subsequently Spun Off From The Company In 2002.,103449.0,0.065,19401.0,0.075,1951158.0,88377.0
32.0,Valero Energy,10222.0,-8.0,Oil And Gas,"Valero Energy Corporation Is A Fortune 500 International Manufacturer And Marketer Of Transportation Fuels, Other Petrochemical Products, And Power. It Is Headquartered In San Antonio, Texas, United States.",102729.0,-0.078,2422.0,-0.224,53864.0,18532.0
33.0,General Electric,205000.0,-12.0,Multinational Conglomerate Company,"General Electric Company Is An American Multinational Conglomerate Incorporated In New York City And Headquartered In Boston. As Of 2018, The Company Operates Through The Following Segments: Aviation, Healthcare, Power, Renewable Energy, Digital Industry, Additive Manufacturing And Venture Capital And Finance.",95214.0,-0.208,-4979.0,-,266048.0,69406.0
34.0,Dell Technologies,165000.0,-,Computer Software Company,ny,92154.0,0.017,4616.0,-,118861.0,29246.0
35.0,Johnson & Johnson,132200.0,2.0,Medical Device Company,"Johnson & Johnson Is An American Multinational Corporation Founded In 1886 That Develops Medical Devices, Pharmaceutical, And Consumer Packaged Goods",82059.0,0.006,15119.0,-0.012,157728.0,345705.0
36.0,State Farm Insurance,57672.0,-,Insurance Company,"State Farm Is A Large Group Of Insurance Companies Throughout The United States With Corporate Headquarters In Bloomington, Illinois.",79395.0,-0.029,5592.7,-0.364,294823.0,-
37.0,Target,368000.0,2.0,Retail Company,"Target Corporation Is An American Retail Corporation. It Is The 8th-largest Retailer In The United States, And Is A Component Of The S&p 500 Index. ",78112.0,0.037,3281.0,0.117,42779.0,46574.0
38.0,Ibm,383800.0,-,Management Consulting Company,"International Business Machines Corporation Is An American Multinational Technology And Consulting Company Headquartered In Armonk, New York, With More Than 350,000 Employees Serving Clients In 170 Countries. ",77147.0,-0.031,9431.0,0.081,152186.0,98551.0
39.0,Raytheon Technologies,243200.0,7.0,Aerospace And Defense Company,"Raytheon Technologies Corporation Is An American Multinational Conglomerate Headquartered In Waltham, Massachusetts. The Company Is One Of The Largest Aerospace And Defense Manufacturers In The World By Revenue And Market Capitalization.",77046.0,0.159,5537.0,0.051,139716.0,81705.0
40.0,Boeing,161100.0,-12.0,Aerospace Company,"The Boeing Company Is An American Multinational Corporation That Designs, Manufactures, And Sells Airplanes, Rotorcraft, Rockets, Satellites, Telecommunications Equipment, And Missiles Worldwide. The Company Also Provides Leasing And Product Support Services.",76559.0,-0.243,-636.0,-1.061,133625.0,84149.0
41.0,Freddie Mac,6892.0,-1.0,Mortgage Loan Company,"The Federal Home Loan Mortgage Corporation, Known As Freddie Mac, Is A Public Government-sponsored Enterprise, Headquartered In Tysons Corner, Virginia. Freddie Mac Is Ranked No. 41 On The 2020 Fortune 500 List Of The Largest United States Corporations By Total Revenue, And Has $2.063 Trillion Assets Under Management.",75125.0,0.021,7214.0,-0.219,2203623.0,909.0
42.0,Centene,56600.0,9.0,Insurance Company,"Centene Corporation Is A Large Publicly Traded Company And A Multi-line Managed Care Enterprise That Serves As A Major Intermediary For Both Government-sponsored And Privately Insured Health Care Programs. It Is A Healthcare Insurer That Focuses On Managed Care For Uninsured, Underinsured, And Low-income Individuals. ",74639.0,0.242,1321.0,0.468,40994.0,34862.0
43.0,United Parcel Service,377640.0,-2.0,Logistics Company,United Parcel Service Is An American Multinational Package Delivery And Supply Chain Management Company. ,74094.0,0.031,4440.0,-0.073,57857.0,80196.0
44.0,Lowe's,260000.0,-2.0,Retail Company,"Lowe's Companies, Inc., Doing Business As Lowe's, Is An American Retail Company Specializing In Home Improvement. Headquartered In Mooresville, North Carolina, The Company Operates A Chain Of Retail Stores In The United States, And Canada.",72148.0,0.012,4281.0,0.85,39471.0,64963.0
45.0,Intel,110800.0,-2.0,Semiconductor Company,"Intel Corporation Is An American Multinational Corporation And Technology Company Headquartered In Santa Clara, California, In Silicon Valley. ",71965.0,0.016,21048.0,-,136524.0,231662.0
46.0,Facebook,44942.0,11.0,"Social Networking Service Company
","Facebook Builds Technologies That Give People The Power To Connect With Friends And Family, Find Communities And Grow Businesses.",70697.0,0.266,18485.0,-0.164,133376.0,475455.0
47.0,Fedex,389500.0,-,Logistics Company,"Fedex Corporation Is An American Multinational Delivery Services Company Headquartered In Memphis, Tennessee.",69693.0,0.065,540.0,-0.882,54403.0,31679.0
48.0,Metlife,49000.0,-4.0,Life Insurance Company,"Metlife, Inc. Is The Holding Corporation For The Metropolitan Life Insurance Company, Better Known As Metlife, And Its Affiliates.",69620.0,0.025,5899.0,0.151,740463.0,27997.0
49.0,Walt Disney,223000.0,4.0,Entertainment Company,The Walt Disney Company Is To Be One Of The World's Leading Producers And Providers Of Entertainment And Information.,69570.0,0.171,11054.0,-0.123,193984.0,174405.0
50.0,Procter & Gamble,97000.0,-5.0,Corporation,"It Is An American Multinational Consumer Goods Corporation Headquartered In Cincinnati, Ohio.",67684.0,0.013,3897.0,-0.6,115095.0,271640.0
51.0,Pepsico,267000.0,-3.0,Food Company,"Pepsico, Inc. Is An American Multinational Food, Snack And Beverage Corporation Headquartered In Harrison, New York, In The Hamlet Of Purchase",67161.0,0.039,7314.0,-0.416,78547.0,166848.0
52.0,Humana,46000.0,4.0,Managed Health Care,"Humana Inc. Is A For-profit American Health Insurance Company Based In Louisville, Kentucky.",64888.0,0.14,2707.0,0.608,29074.0,41490.0
53.0,Prudential Financial,51511.0,-3.0,Insurance Company,"Prudential Financial, Inc. Provides Financial Services Throughout The United States And Several Locations Worldwide",64807.0,0.029,4186.0,0.027,896552.0,20650.0
54.0,Archer Daniels Midland,38100.0,-5.0,Food Processing Company,"The Archer-daniels-midland Company, Commonly Known As Adm, Is An American Multinational Food Processing And Commodities Trading Corporation Founded In 1902 And Headquartered In Chicago, Illinois.",64656.0,0.005,1379.0,-0.238,43997.0,19603.0
55.0,Albertsons,267000.0,-3.0,Grocery Store Company,"Albertsons Companies, Inc. Is An American Grocery Company Founded And Headquartered In Boise, Idaho.",60535.0,0.01,131.1,1.832,20777.0,-
